X,0.04528395061728399 -0.09659259259259279 -0.8475925925925916 0.46028395061728355,-0.07298765432098767 1.1452592592592596 -4.927962962962969 4.599790123456799,-0.07807407407407457 1.2215555555555637 -5.298000000000038 5.1783703703704225,-0.19925925925925875 3.5846666666666547 -20.385555555555467 36.686518518518284,0.592049382716047 -15.406740740740666 129.7652592592585 -354.2199506172814,-0.291358024691337 9.770370370369706 -107.42962962962268 384.3086419752849,-0.20740740740740787 7.000000000000011 -77.14444444444447 274.64814814814815,0.44938271604944074 -17.629629629631975 229.2481481481795 -989.672839506311
0.53,-0.009331243999999905,2.2988068960000057,2.701941892000034,26.85944181999981,-289.68397414799784,330.07205879997974,235.6970144,-873.0565812001222
0.531,-0.010243088501382669,2.2950324302914624,2.697874045206404,26.84269136297833,-289.5700555786991,329.9747495423551,235.62712184334814,-872.8456586792283
0.532,-0.011154981913283901,2.2912600225627715,2.6938083927798857,26.82594744045018,-289.4561659366126,329.87745889720446,235.5572426258963,-872.6347699858604
0.533,-0.012066923963999943,2.287489672376006,2.6897449342520336,26.809210051219807,-289.34230521818586,329.7801868627798,235.4873767464,-872.423915117322
0.534,-0.012978914381827078,2.2837213792932403,2.6856836691544044,26.792479194091662,-289.2284734198667,329.68293343733285,235.4175242036148,-872.2130940709171
0.535,-0.013890952895061648,2.279955142876549,2.681624597018552,26.77575486787018,-289.1146705381028,329.5856986191156,235.3476849962963,-872.0023068439492
0.536,-0.014803039231999937,2.2761909626880055,2.677567717376034,26.75903707135981,-289.0008965693419,329.4884824063798,235.2778591232,-871.791553433722
0.537,-0.01571517312093823,2.2724288382896844,2.673513029758404,26.74232580336499,-288.8871515100316,329.39128479737735,235.20804658308145,-871.5808338375392
0.538,-0.016627354290172758,2.2686687692436602,2.669460533697219,26.72562106269018,-288.7734353566197,329.29410579036005,235.13824737469628,-871.3701480527046
0.539,-0.017539582467999915,2.264910755112006,2.6654102287240335,26.708922848139807,-288.65974810555383,329.1969453835798,235.06846149679998,-871.1594960765219
0.54,-0.018451857382715986,2.261154795456796,2.661362114370404,26.69223115851833,-288.5460897532818,329.09980357528843,234.99868894814813,-870.9488779062947
0.541,-0.0193641787626172,2.2574008898401043,2.6573161901678857,26.675545992630177,-288.43246029625124,329.00268036373785,234.92892972749627,-870.7382935393268
0.542,-0.020276546335999956,2.2536490378240055,2.6532724556480334,26.65886734927981,-288.3188597309098,328.9055757471798,234.85918383359999,-870.5277429729218
0.543,-0.021188959831160425,2.249899238970573,2.649230910342404,26.64219522727166,-288.2052880537054,328.8084897238663,234.7894512652148,-870.3172262043836
0.544,-0.02210141897639495,2.246151492841882,2.645191553782552,26.62552962541018,-288.09174526108546,328.71142229204895,234.71973202109626,-870.1067432310156
0.545,-0.023013923499999922,2.242405799000006,2.6411543855000335,26.608870542499808,-287.97823134949783,328.61437344997984,234.6500261,-869.8962940501217
0.546,-0.02392647313027152,2.2386621570070178,2.6371194050264037,26.592217977344994,-287.8647463153902,328.5173431959107,234.58033350068146,-869.6858786590057
0.547,-0.02483906759550608,2.2349205664249934,2.633086611893219,26.57557192875018,-287.75129015521037,328.42033152809347,234.5106542218963,-869.4754970549711
0.548,-0.025751706623999893,2.2311810268160057,2.6290560056320333,26.55893239551981,-287.63786286540585,328.3233384447799,234.44098826239997,-869.2651492353217
0.549,-0.026664389944049294,2.227443537742129,2.625027585774404,26.542299376458327,-287.52446444242446,328.2263639442218,234.37133562094814,-869.0548351973612
0.55,-0.027577117283950514,2.223708098765438,2.621001351851885,26.52567287037018,-287.4110948827139,328.12940802467125,234.30169629629629,-868.8445549383932
0.551,-0.028489888371999894,2.219974709448006,2.616977303396033,26.509052876059812,-287.29775418272186,328.03247068437986,234.23207028719997,-868.6343084557216
0.552,-0.02940270293649372,2.216243369351907,2.6129554399384034,26.49243939233166,-287.184442338896,327.93555192159965,234.1624575924148,-868.42409574665
0.553,-0.03031556070572833,2.2125140780392156,2.6089357610105517,26.47583241799018,-287.0711593476841,327.83865173458236,234.09285821069628,-868.213916808482
0.554,-0.031228461407999897,2.2087868350720052,2.604918266144033,26.45923195183981,-286.95790520553385,327.7417701215799,234.02327214079997,-868.0037716385215
0.555,-0.032141404771604876,2.2050616400123513,2.6009029548704032,26.442637992684993,-286.84467990889294,327.6449070808441,233.95369938148147,-867.793660234072
0.556,-0.03305439052483944,2.2013384924223267,2.5968898267212186,26.42605053933018,-286.731483454209,327.54806261062686,233.8841399314963,-867.5835825924374
