X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.556,-0.029674666666666683,-0.7882559999999998,-4.134602666666668,-4.807128000000001,0.5583226666666665,27.302133333333323,-12.051466666666668,-16.92533333333333,10.943999999999994,-39.24693333333332
0.557,-0.030525999999999998,-0.7885819999999998,-4.1337920000000015,-4.806166000000001,0.5583819999999999,27.29859999999999,-12.050600000000001,-16.923999999999996,10.942999999999993,-39.244199999999985
0.558,-0.03137733333333337,-0.7889079999999998,-4.132981333333334,-4.805204000000002,0.5584413333333332,27.295066666666656,-12.049733333333334,-16.922666666666665,10.941999999999993,-39.24146666666665
0.559,-0.03222866666666668,-0.7892339999999998,-4.132170666666668,-4.804242000000001,0.5585006666666665,27.291533333333323,-12.048866666666669,-16.92133333333333,10.940999999999994,-39.23873333333332
0.56,-0.03308,-0.7895599999999998,-4.131360000000001,-4.803280000000001,0.5585599999999998,27.28799999999999,-12.048000000000002,-16.919999999999998,10.939999999999992,-39.23599999999998
0.561,-0.03393133333333337,-0.7898859999999999,-4.1305493333333345,-4.802318000000001,0.5586193333333332,27.284466666666656,-12.047133333333335,-16.918666666666663,10.938999999999993,-39.23326666666665
0.562,-0.034782666666666684,-0.7902119999999998,-4.129738666666668,-4.801356000000001,0.5586786666666665,27.280933333333323,-12.046266666666668,-16.917333333333332,10.937999999999994,-39.23053333333332
0.563,-0.035633999999999943,-0.7905379999999997,-4.128928000000001,-4.800394000000002,0.5587379999999998,27.27739999999999,-12.0454,-16.915999999999997,10.936999999999994,-39.22779999999999
0.564,-0.03648533333333326,-0.7908639999999998,-4.128117333333335,-4.799432000000001,0.5587973333333333,27.273866666666656,-12.044533333333336,-16.914666666666665,10.935999999999993,-39.22506666666665
0.565,-0.03733666666666663,-0.7911899999999998,-4.127306666666668,-4.798470000000002,0.5588566666666666,27.270333333333323,-12.043666666666669,-16.91333333333333,10.934999999999993,-39.22233333333332
0.566,-0.038187999999999944,-0.7915159999999998,-4.126496000000001,-4.797508000000001,0.5589159999999999,27.26679999999999,-12.042800000000002,-16.912,10.933999999999994,-39.219599999999986
0.567,-0.03903933333333326,-0.7918419999999998,-4.125685333333335,-4.796546000000001,0.5589753333333332,27.263266666666656,-12.041933333333334,-16.910666666666664,10.932999999999993,-39.216866666666654
0.568,-0.03989066666666663,-0.7921679999999998,-4.124874666666668,-4.795584000000002,0.5590346666666666,27.259733333333322,-12.04106666666667,-16.909333333333333,10.931999999999993,-39.21413333333332
0.569,-0.040741999999999945,-0.7924939999999998,-4.1240640000000015,-4.794622000000001,0.5590939999999999,27.25619999999999,-12.040200000000002,-16.907999999999998,10.930999999999994,-39.21139999999998
0.57,-0.04159333333333326,-0.7928199999999997,-4.123253333333334,-4.793660000000001,0.5591533333333332,27.252666666666656,-12.039333333333335,-16.906666666666663,10.929999999999993,-39.20866666666665
0.571,-0.04244466666666663,-0.7931459999999998,-4.122442666666668,-4.7926980000000015,0.5592126666666666,27.249133333333322,-12.038466666666668,-16.90533333333333,10.928999999999993,-39.20593333333332
0.572,-0.043295999999999946,-0.7934719999999997,-4.121632000000001,-4.791736000000001,0.5592719999999999,27.24559999999999,-12.037600000000001,-16.903999999999996,10.927999999999994,-39.20319999999999
0.573,-0.04414733333333326,-0.7937979999999998,-4.120821333333335,-4.790774000000002,0.5593313333333332,27.242066666666656,-12.036733333333334,-16.902666666666665,10.926999999999992,-39.20046666666665
0.574,-0.04499866666666663,-0.7941239999999998,-4.120010666666668,-4.789812000000001,0.5593906666666666,27.238533333333322,-12.035866666666669,-16.90133333333333,10.925999999999993,-39.19773333333332
0.575,-0.045849999999999946,-0.7944499999999998,-4.119200000000001,-4.788850000000002,0.5594499999999999,27.23499999999999,-12.035000000000002,-16.9,10.924999999999994,-39.194999999999986
0.576,-0.04670133333333326,-0.7947759999999998,-4.118389333333335,-4.7878880000000015,0.5595093333333332,27.231466666666655,-12.034133333333335,-16.898666666666664,10.923999999999992,-39.192266666666654
0.577,-0.04755266666666663,-0.7951019999999998,-4.117578666666668,-4.786926000000001,0.5595686666666666,27.227933333333322,-12.033266666666668,-16.897333333333332,10.922999999999993,-39.189533333333316
0.578,-0.04840399999999995,-0.7954279999999998,-4.116768000000001,-4.785964000000002,0.5596279999999999,27.22439999999999,-12.0324,-16.895999999999997,10.921999999999993,-39.186799999999984
0.579,-0.04925533333333326,-0.7957539999999999,-4.115957333333334,-4.785002000000001,0.5596873333333332,27.220866666666655,-12.031533333333336,-16.894666666666666,10.920999999999994,-39.18406666666665
