X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888954 4.422222222222231 -15.120888888888915,-1.1975555555555488 17.423888888888783 -61.74755555555513,1.466666666666677 -29.200000000000184 140.7333333333342,0.15555555555555697 -2.3222222222222593 3.722222222222385,-0.7777777777777705 19.61111111111093 -124.61111111111002,1.2444444444444582 -33.97777777777815 229.27777777778027
2.856,-1.6345884515555555,-1.7469238044444437,-2.2004188728888896,-4.945293454222229,-21.75307340088871,69.30134613333375,-1.641218844444376,-74.94590577777714,142.387849244446
2.857,-1.6348771528888886,-1.7471691011111106,-2.1997487948888894,-4.942590210222226,-21.74249114688871,69.28052520000043,-1.6426523777777096,-74.93073811111047,142.36098097777932
2.858,-1.6351655039999997,-1.747413639999999,-2.1990786160000004,-4.939887568000005,-21.73191128799983,69.25970720000042,-1.644085599999932,-74.91557199999937,142.33411520000152
2.859,-1.6354535048888885,-1.7476574211111107,-2.1984083362222226,-4.937185527555561,-21.72133382422205,69.23889213333376,-1.6455185111110424,-74.90040744444381,142.30725191111264
2.86,-1.635741155555555,-1.7479004444444444,-2.197737955555556,-4.934484088888896,-21.710758755555382,69.21808000000043,-1.6469511111110426,-74.88524444444381,142.28039111111264
2.861,-1.6360284559999996,-1.7481427099999998,-2.1970674740000002,-4.931783252000004,-21.700186081999824,69.19727080000042,-1.6483833999999327,-74.87008299999937,142.25353280000155
2.862,-1.6363154062222218,-1.7483842177777773,-2.196396891555556,-4.929083016888894,-21.689615803555377,69.17646453333376,-1.6498153777777098,-74.85492311111048,142.22667697777933
2.863,-1.6366020062222217,-1.748624967777777,-2.1957262082222226,-4.92638338355556,-21.67904792022204,69.15566120000042,-1.6512470444443768,-74.83976477777713,142.19982364444598
2.864,-1.6368882559999989,-1.7488649599999992,-2.1950554240000004,-4.923684352000006,-21.668482431999827,69.13486080000042,-1.6526783999999317,-74.82460799999937,142.17297280000156
2.865,-1.637174155555555,-1.749104194444444,-2.1943845388888894,-4.920985922222226,-21.65791933888871,69.11406333333376,-1.6541094444443765,-74.80945277777715,142.14612444444597
2.866,-1.6374597048888884,-1.7493426711111106,-2.193713552888889,-4.918288094222229,-21.64735864088872,69.09326880000043,-1.6555401777777092,-74.79429911111048,142.1192785777793
2.867,-1.6377449039999998,-1.7495803899999989,-2.1930424660000005,-4.915590868000006,-21.636800337999823,69.07247720000042,-1.6569705999999318,-74.77914699999937,142.09243520000155
2.868,-1.6380297528888885,-1.7498173511111106,-2.1923712782222227,-4.912894243555561,-21.626244430222044,69.05168853333376,-1.6584007111110424,-74.76399644444382,142.06559431111265
2.869,-1.6383142515555549,-1.7500535544444435,-2.1916999895555556,-4.910198220888894,-21.615690917555376,69.03090280000042,-1.6598305111110436,-74.74884744444381,142.03875591111264
2.87,-1.6385983999999998,-1.7502889999999995,-2.1910286,-4.907502800000005,-21.605139799999826,69.01012000000043,-1.661259999999933,-74.73369999999937,142.01192000000154
2.871,-1.6388821982222215,-1.7505236877777772,-2.190357109555556,-4.904807980888895,-21.59459107755538,68.98934013333376,-1.6626891777777093,-74.71855411111048,141.98508657777933
2.872,-1.6391656462222217,-1.7507576177777775,-2.189685518222223,-4.90211376355556,-21.58404475022205,68.96856320000043,-1.6641180444443764,-74.70340977777715,141.95825564444598
2.873,-1.639448744,-1.75099079,-2.189013826,-4.899420148000004,-21.573500817999822,68.94778920000041,-1.6655465999999333,-74.68826699999937,141.9314272000015
2.874,-1.6397314915555552,-1.751223204444444,-2.1883420328888894,-4.8967271342222265,-21.562959280888712,68.92701813333376,-1.6669748444443764,-74.67312577777714,141.90460124444598
2.875,-1.6400138888888884,-1.7514548611111103,-2.1876701388888895,-4.894034722222228,-21.552420138888714,68.90625000000043,-1.6684027777777102,-74.65798611111049,141.87777777777933
2.876,-1.6402959359999993,-1.751685759999999,-2.1869981440000004,-4.891342912000006,-21.541883391999825,68.88548480000043,-1.6698303999999329,-74.64284799999938,141.85095680000154
2.877,-1.6405776328888884,-1.751915901111111,-2.186326048222223,-4.888651703555562,-21.531349040222047,68.86472253333376,-1.6712577111110427,-74.62771144444382,141.82413831111265
2.878,-1.6408589795555546,-1.752145284444444,-2.185653851555556,-4.885961096888895,-21.52081708355538,68.84396320000042,-1.6726847111110432,-74.61257644444382,141.79732231111265
2.879,-1.6411399759999998,-1.7523739099999989,-2.184981554,-4.883271092000005,-21.51028752199982,68.82320680000043,-1.6741113999999326,-74.59744299999937,141.77050880000155
2.88,-1.6414206222222218,-1.7526017777777771,-2.184309155555556,-4.8805816888888955,-21.49976035555538,68.80245333333376,-1.67553777777771,-74.58231111111047,141.74369777777932
2.881,-1.6417009182222215,-1.7528288877777771,-2.183636656222223,-4.877892887555561,-21.48923558422205,68.78170280000043,-1.6769638444443764,-74.56718077777715,141.716889244446
2.882,-1.6419808639999998,-1.7530552399999992,-2.1829640560000003,-4.8752046880000055,-21.478713207999824,68.76095520000042,-1.6783895999999325,-74.55205199999938,141.69008320000154
2.883,-1.6422604595555552,-1.7532808344444444,-2.182291354888889,-4.872517090222226,-21.468193226888708,68.74021053333377,-1.6798150444443767,-74.53692477777714,141.663279644446
2.884,-1.642539704888888,-1.7535056711111099,-2.1816185528888896,-4.869830094222229,-21.457675640888716,68.71946880000043,-1.6812401777777097,-74.52179911111048,141.63647857777931
2.885,-1.6428185999999991,-1.7537297499999989,-2.180945650000001,-4.867143700000007,-21.447160449999828,68.69873000000042,-1.6826649999999317,-74.50667499999938,141.60968000000156
2.886,-1.6430971448888885,-1.7539530711111104,-2.180272646222223,-4.864457907555559,-21.436647654222043,68.67799413333375,-1.6840895111110434,-74.49155244444381,141.58288391111265
2.887,-1.643375339555555,-1.7541756344444441,-2.179599541555556,-4.861772716888895,-21.426137253555382,68.65726120000042,-1.685513711111044,-74.47643144444382,141.55609031111265
2.888,-1.6436531839999997,-1.7543974399999995,-2.1789263360000004,-4.859088128000005,-21.415629247999824,68.63653120000043,-1.6869375999999319,-74.46131199999937,141.52929920000153
2.889,-1.6439306782222216,-1.754618487777777,-2.178253029555556,-4.8564041408888965,-21.405123637555384,68.61580413333375,-1.6883611777777094,-74.44619411111049,141.50251057777933
2.89,-1.6442078222222216,-1.754838777777778,-2.177579622222223,-4.85372075555556,-21.39462042222204,68.59508000000042,-1.6897844444443777,-74.43107777777715,141.47572444444597
2.891,-1.6444846159999997,-1.755058309999999,-2.1769061140000003,-4.851037972000006,-21.384119601999828,68.57435880000043,-1.691207399999933,-74.41596299999938,141.44894080000154
2.892,-1.644761059555555,-1.7552770844444434,-2.1762325048888895,-4.848355790222227,-21.37362117688872,68.55364053333376,-1.6926300444443765,-74.40084977777715,141.42215964444597
