X,-5.66133211400731E-4 0.016951623228167456 -0.20596936442616737 1.2216478433166404 -3.270455509831012 2.762446410608357 -0.6859631153788236,0.002539734796524242 -0.09020082304524431 1.2732002743481132 -9.181068815727254 35.78078765431382 -70.7977079560918 53.01449474164679,-0.006388172534686843 0.298163145862473 -5.590128486521588 53.76625781140821 -279.5104917243342 744.8637177425569 -795.9848529202077,0.006523639689045948 -0.379706995883289 8.984079561007885 -110.33480566944804 740.0739884745915 -2566.0235220755426 3589.189373557931,-9.741197988591336E-4 0.08140521262321816 -2.684308642062188 45.098434614864175 -408.90798039382037 1900.5398856366835 -3540.8050114981856
1.711,-0.9453871709540463,0.2935896674945795,-114.17886254689336,884.2321589435164,-1282.0066937714532
1.712,-0.9465370590355079,0.2864752836672366,-114.018154521018,883.3942669302696,-1281.1599577606012
1.713,-0.9476866281884609,0.2793745359938882,-113.85762156537157,882.5570012634294,-1280.3136628068742
1.714,-0.9488358769067459,0.27228740737563584,-113.69726353849649,881.7203615873514,-1279.467808736269
1.715,-0.9499848036862627,0.265213880728119,-113.53708029901406,880.884347546536,-1278.6223953748326
1.716,-0.951133407024965,0.2581539389818275,-113.37707170562544,880.0489587856264,-1277.7774225486596
1.717,-0.9522816854228667,0.25110756508187393,-113.217237617112,879.2141949494116,-1276.932890083894
1.718,-0.9534296373820249,0.24407474198799406,-113.05757789233348,878.3800556828251,-1276.0887978067285
1.719,-0.954577261406557,0.237055452674646,-112.8980923902302,877.5465406309431,-1275.245145543403
1.72,-0.9557245560026205,0.23004968013096772,-112.73878096982105,876.7136494389879,-1274.4019331202085
1.721,-0.9568715196784346,0.2230574073607059,-112.57964349020529,875.8813817523255,-1273.559160363482
1.722,-0.9580181509442532,0.21607861738225864,-112.42067981056096,875.049737216465,-1272.7168270996117
1.723,-0.9591644483123837,0.20911329322864702,-112.26188979014546,874.2187154770613,-1271.874933155033
1.724,-0.9603104102971761,0.20216141794760034,-112.1032732882959,873.3883161799126,-1271.0334783562298
1.725,-0.9614560354150271,0.19522297460135718,-111.94483016442882,872.5585389709604,-1270.1924625297352
1.726,-0.962601322184368,0.18829794626683594,-111.78656027803959,871.7293834962934,-1269.3518855021316
1.727,-0.9637462691256774,0.18138631603557798,-111.62846348870312,870.9008494021386,-1268.511747100048
1.728,-0.9648908747614705,0.17448806701363395,-111.47053965607392,870.0729363348723,-1267.672047150164
