X,0.20554558294218855 0.6162554538087758 -3.0759774968201907 0.7697679949379028,-0.4119287326682566 3.522707057387141 -7.305771649796344 2.638635004003944,-2.5185297589997164 17.6832791563872 -38.14671402583667 24.290933163017485
2.682,0.9181751133450577,0.43691207510621366,0.5920940813345226
2.683,0.9228425449804922,0.4396131486690531,0.5944496028111814
2.684,0.9275145179996314,0.4423146364172683,0.5967999475541319
2.685,0.9321910336357428,0.4450165358792826,0.5991451004521338
2.686,0.9368720931221051,0.44771884458352984,0.6014850463940178
2.687,0.941557697691991,0.4504215600584369,0.6038197702686716
2.688,0.9462478485786721,0.4531246798324342,0.6061492569648266
2.689,0.9509425470154194,0.4558282014339379,0.6084734913713419
2.69,0.9556417942355131,0.4585321223913925,0.6107924583770483
2.691,0.960345591472221,0.46123644023321786,0.6131061428707483
2.692,0.9650539399588214,0.4639411524878372,0.615414529741301
2.693,0.9697668409285838,0.4666462566836702,0.6177176038774519
2.694,0.9744842956147812,0.46935175034916865,0.6200153501681029
2.695,0.9792063052506885,0.472057631012738,0.6223077535020138
2.696,0.9839328710695823,0.47476389620282644,0.624594798768058
2.697,0.988663994304732,0.477470543447843,0.6268764708550236
2.698,0.9933996761894124,0.4801775702762181,0.6291527546517841
2.699,0.9981399179568984,0.48288497421639276,0.6314236350470566
2.7,1.0028847208404612,0.4855927527967796,0.6336890969297428
2.701,1.007634086073374,0.48830090354581257,0.6359491251886595
2.702,1.012388014888913,0.49100942399191494,0.6382037047125806
2.703,1.01714650852035,0.49371831166352775,0.6404528203903936
2.704,1.0219095682009594,0.4964275640890601,0.6426964571108726
2.705,1.0266771951640161,0.49913717879695296,0.644934599762891
2.706,1.0314493906427862,0.5018471533156297,0.6471672332352085
2.707,1.0362261558705514,0.5045574851735171,0.6493943424166702
2.708,1.041007492080585,0.5072681718990384,0.6516159121960783
2.709,1.0457934005061527,0.5099792110206276,0.6538319274623206
2.71,1.0505838823805365,0.5126906000667186,0.6560423731041283
2.711,1.055378938937004,0.5154023365657241,0.6582472340103891
2.712,1.0601785714088356,0.5181144180460815,0.6604464950699054
2.713,1.064982781029297,0.5208268420362105,0.6626401411714795
2.714,1.069791569031665,0.5235396060645523,0.6648281572039707
2.715,1.0746049366492143,0.5262527076595229,0.6670105280561813
2.716,1.079422885115218,0.5289661443495528,0.6691872386168995
2.717,1.0842454156629489,0.5316799136630652,0.671358273775013
2.718,1.0890725295256785,0.5343940131284977,0.6735236184192956
