X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.314,-0.5717268041237114,-0.9015755894590846,-3.793239892183289,-5.734119565217393,-0.6600972222222202
0.315,-0.5730309278350516,-0.902253814147018,-3.7916010781671163,-5.73150543478261,-0.6594791666666646
0.316,-0.5743350515463919,-0.9029320388349514,-3.789962264150944,-5.728891304347827,-0.6588611111111091
0.317,-0.575639175257732,-0.9036102635228849,-3.7883234501347713,-5.7262771739130445,-0.6582430555555535
0.318,-0.5769432989690721,-0.9042884882108183,-3.786684636118599,-5.723663043478262,-0.6576249999999979
0.319,-0.5782474226804124,-0.9049667128987517,-3.7850458221024263,-5.72104891304348,-0.6570069444444424
0.32,-0.5795515463917527,-0.9056449375866852,-3.783407008086254,-5.718434782608696,-0.6563888888888869
0.321,-0.5808556701030928,-0.9063231622746186,-3.7817681940700814,-5.715820652173914,-0.6557708333333313
0.322,-0.582159793814433,-0.907001386962552,-3.780129380053909,-5.7132065217391315,-0.6551527777777757
0.323,-0.5834639175257732,-0.9076796116504855,-3.7784905660377364,-5.710592391304349,-0.6545347222222202
0.324,-0.5847680412371135,-0.9083578363384188,-3.776851752021564,-5.707978260869567,-0.6539166666666647
0.325,-0.5860721649484537,-0.9090360610263523,-3.7752129380053914,-5.705364130434783,-0.6532986111111091
0.326,-0.5873762886597939,-0.9097142857142857,-3.773574123989219,-5.702750000000001,-0.6526805555555535
0.327,-0.588680412371134,-0.9103925104022191,-3.7719353099730464,-5.7001358695652184,-0.652062499999998
0.328,-0.5899845360824743,-0.9110707350901526,-3.770296495956874,-5.697521739130436,-0.6514444444444424
0.329,-0.5912886597938145,-0.911748959778086,-3.7686576819407014,-5.694907608695653,-0.6508263888888869
0.33,-0.5925927835051548,-0.9124271844660194,-3.767018867924529,-5.69229347826087,-0.6502083333333313
0.331,-0.5938969072164949,-0.9131054091539529,-3.7653800539083564,-5.689679347826088,-0.6495902777777758
0.332,-0.595201030927835,-0.9137836338418863,-3.763741239892184,-5.687065217391305,-0.6489722222222202
0.333,-0.5965051546391753,-0.9144618585298196,-3.7621024258760114,-5.684451086956523,-0.6483541666666647
0.334,-0.5978092783505156,-0.9151400832177532,-3.760463611859839,-5.681836956521741,-0.6477361111111091
0.335,-0.5991134020618557,-0.9158183079056865,-3.7588247978436664,-5.679222826086957,-0.6471180555555536
0.336,-0.6004175257731958,-0.91649653259362,-3.757185983827494,-5.676608695652175,-0.646499999999998
0.337,-0.6017216494845361,-0.9171747572815534,-3.7555471698113214,-5.673994565217392,-0.6458819444444425
0.338,-0.6030257731958764,-0.9178529819694868,-3.753908355795149,-5.67138043478261,-0.6452638888888869
0.339,-0.6043298969072166,-0.9185312066574203,-3.7522695417789764,-5.668766304347827,-0.6446458333333314
0.34,-0.6056340206185568,-0.9192094313453537,-3.750630727762804,-5.666152173913044,-0.6440277777777758
0.341,-0.6069381443298969,-0.9198876560332871,-3.7489919137466314,-5.663538043478262,-0.6434097222222201
0.342,-0.6082422680412372,-0.9205658807212205,-3.747353099730459,-5.660923913043479,-0.6427916666666647
0.343,-0.6095463917525774,-0.921244105409154,-3.7457142857142864,-5.658309782608697,-0.6421736111111092
0.344,-0.6108505154639174,-0.9219223300970874,-3.744075471698114,-5.655695652173915,-0.6415555555555535
0.345,-0.6121546391752577,-0.9226005547850208,-3.7424366576819414,-5.653081521739131,-0.640937499999998
0.346,-0.613458762886598,-0.9232787794729542,-3.740797843665769,-5.650467391304349,-0.6403194444444424
0.347,-0.6147628865979382,-0.9239570041608877,-3.7391590296495965,-5.647853260869566,-0.639701388888887
0.348,-0.6160670103092784,-0.9246352288488211,-3.737520215633424,-5.645239130434784,-0.6390833333333313
0.349,-0.6173711340206185,-0.9253134535367544,-3.7358814016172515,-5.642625000000001,-0.6384652777777758
0.35,-0.6186752577319587,-0.925991678224688,-3.734242587601079,-5.640010869565218,-0.6378472222222202
0.351,-0.619979381443299,-0.9266699029126213,-3.7326037735849065,-5.637396739130436,-0.6372291666666647
0.352,-0.6212835051546393,-0.9273481276005547,-3.730964959568734,-5.634782608695653,-0.6366111111111091
0.353,-0.6225876288659794,-0.9280263522884882,-3.7293261455525615,-5.632168478260871,-0.6359930555555535
0.354,-0.6238917525773195,-0.9287045769764216,-3.727687331536389,-5.629554347826088,-0.635374999999998
0.355,-0.6251958762886598,-0.929382801664355,-3.7260485175202165,-5.626940217391305,-0.6347569444444425
0.356,-0.6265000000000001,-0.9300610263522885,-3.724409703504044,-5.624326086956523,-0.6341388888888869
0.357,-0.6278041237113402,-0.9307392510402219,-3.7227708894878715,-5.62171195652174,-0.6335208333333313
0.358,-0.6291082474226803,-0.9314174757281554,-3.721132075471699,-5.619097826086958,-0.6329027777777758
0.359,-0.6304123711340206,-0.9320957004160888,-3.7194932614555265,-5.616483695652175,-0.6322847222222203
0.36,-0.6317164948453609,-0.9327739251040221,-3.717854447439354,-5.613869565217392,-0.6316666666666647
0.361,-0.6330206185567011,-0.9334521497919557,-3.7162156334231815,-5.61125543478261,-0.6310486111111091
