X,0.175111111111111 -1.2891111111111107 0.6187777777777778,0.378888888888889 -2.4098888888888896 2.045222222222224,0.05044444444444454 0.3818888888888874 -3.7025555555555525,-0.30088888888888865 4.422222222222219 -15.120888888888887,-1.1975555555555506 17.423888888888808 -61.74755555555524,1.4666666666666734 -29.200000000000124 140.7333333333339,0.15555555555555708 -2.322222222222254 3.722222222222367,-0.7777777777777752 19.61111111111105 -124.61111111111074,1.2444444444444551 -33.97777777777807 229.27777777777973
0.56,-0.04820959999999985,0.8145040000000012,-3.4728783999999977,-12.7388032,-52.36573119999972,124.84128000000048,2.4705600000001278,-113.87279999999967,210.6404800000018
0.561,-0.04930241155555548,0.812518845555557,-3.4724399628888865,-12.734718274222221,-52.34964977088861,124.81372413333382,2.468412155555683,-113.85406077777745,210.60789724444624
0.562,-0.050394872888888775,0.8105344488888904,-3.4720014248888864,-12.730633950222222,-52.33357073688862,124.78617120000048,2.4662646222223494,-113.83532311111078,210.57531697777958
0.563,-0.051486983999999736,0.8085508100000016,-3.4715627859999976,-12.726550228,-52.31749409799973,124.75862120000049,2.4641174000001276,-113.81658699999967,210.5427392000018
0.564,-0.052578744888888584,0.8065679288888903,-3.47112404622222,-12.722467107555556,-52.30141985422195,124.73107413333382,2.4619704888890164,-113.79785244444412,210.5101639111129
0.565,-0.05367015555555532,0.804585805555557,-3.4706852055555535,-12.718384588888888,-52.285348005555285,124.70353000000048,2.4598238888890167,-113.7791194444441,210.4775911111129
0.566,-0.054761215999999724,0.8026044400000016,-3.470246263999998,-12.714302672,-52.269278551999726,124.67598880000048,2.4576776000001272,-113.76038799999966,210.4450208000018
0.567,-0.055851926222221904,0.8006238322222237,-3.4698072215555533,-12.710221356888889,-52.253211493555284,124.64845053333383,2.4555316222223498,-113.74165811111078,210.41245297777957
0.568,-0.05694228622222197,0.7986439822222238,-3.46936807822222,-12.706140643555555,-52.23714683022195,124.62091520000048,2.453385955555683,-113.72292977777745,210.37988764444623
0.569,-0.058032295999999706,0.7966648900000015,-3.468928833999998,-12.702060532,-52.22108456199973,124.59338280000048,2.4512406000001272,-113.70420299999967,210.3473248000018
0.57,-0.05912195555555522,0.7946865555555571,-3.4684894888888866,-12.697981022222223,-52.205024688888614,124.56585333333382,2.449095555555683,-113.68547777777745,210.31476444444624
0.571,-0.060211264888888616,0.7927089788888904,-3.4680500428888865,-12.693902114222222,-52.18896721088862,124.53832680000049,2.4469508222223495,-113.66675411111078,210.28220657777956
0.572,-0.06130022399999968,0.7907321600000015,-3.4676104959999976,-12.689823808,-52.17291212799972,124.51080320000048,2.444806400000127,-113.64803199999967,210.24965120000178
0.573,-0.062388832888888635,0.7887560988888902,-3.46717084822222,-12.685746103555555,-52.15685944022195,124.48328253333382,2.442662288889016,-113.62931144444411,210.2170983111129
0.574,-0.06347709155555536,0.786780795555557,-3.4667310995555534,-12.681669000888888,-52.14080914755528,124.45576480000048,2.4405184888890163,-113.61059244444411,210.1845479111129
0.575,-0.06456499999999976,0.7848062500000015,-3.4662912499999976,-12.6775925,-52.12476124999973,124.42825000000049,2.438375000000127,-113.59187499999967,210.1520000000018
0.576,-0.06565255822222194,0.7828324622222238,-3.4658512995555535,-12.673516600888888,-52.10871574755528,124.40073813333382,2.4362318222223496,-113.57315911111078,210.11945457777958
0.577,-0.066739766222222,0.7808594322222238,-3.46541124822222,-12.669441303555555,-52.09267264022195,124.37322920000048,2.4340889555556826,-113.55444477777745,210.08691164444625
0.578,-0.06782662399999972,0.7788871600000016,-3.464971095999998,-12.665366608,-52.07663192799973,124.34572320000049,2.431946400000127,-113.53573199999967,210.05437120000178
0.579,-0.06891313155555523,0.7769156455555573,-3.4645308428888866,-12.661292514222222,-52.06059361088862,124.31822013333382,2.429804155555683,-113.51702077777745,210.02183324444624
0.58,-0.06999928888888862,0.7749448888888903,-3.464090488888887,-12.657219022222222,-52.04455768888862,124.29072000000049,2.427662222222349,-113.49831111111078,209.98929777777957
0.581,-0.07108509599999968,0.7729748900000015,-3.463650033999998,-12.653146132,-52.02852416199973,124.26322280000049,2.425520600000127,-113.47960299999967,209.9567648000018
0.582,-0.07217055288888863,0.7710056488888906,-3.46320947822222,-12.649073843555556,-52.01249303022195,124.23572853333383,2.423379288889016,-113.46089644444412,209.9242343111129
0.583,-0.07325565955555535,0.769037165555557,-3.4627688215555534,-12.64500215688889,-51.996464293555285,124.2082372000005,2.4212382888890156,-113.44219144444412,209.8917063111129
0.584,-0.07434041599999974,0.7670694400000015,-3.4623280639999976,-12.640931072,-51.980437951999725,124.18074880000049,2.4190976000001267,-113.42348799999967,209.85918080000178
0.585,-0.07542482222222191,0.7651024722222237,-3.4618872055555534,-12.636860588888888,-51.964414005555284,124.15326333333383,2.416957222222349,-113.40478611111078,209.82665777777956
